"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"126","Jaculus_jaculus","Jaculus_jaculus","Mammalia",-0.757761246465401,-0.673079224517675,0.51283914510825,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"127","Jaculus_orientalis","Jaculus_orientalis","Mammalia",-1.1694425652357,-0.34592137710649,0.286129723976932,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"128","Kerodon_rupestris","Kerodon_rupestris","Mammalia",0.0701096197782101,0.373644999188668,-0.591329559751004,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"129","Kobus_ellipsiprymnus","Kobus_ellipsiprymnus","Mammalia",1.29728902925233,2.29064727657921,-1.16576409763822,"crepuscular","nonvolant","nonfossorial","terrestrial","good"
"130","Lagidium_viscacia","Lagidium_viscacia","Mammalia",0.670906716432409,0.55111926728965,-0.899688307179275,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"131","Lagorchestes_conspicillatus","Lagorchestes_conspicillatus","Mammalia",-0.486031154701691,0.796101867066668,-0.966757093107237,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"132","Lagostomus_maximus","Lagostomus_maximus","Mammalia",-0.188248691531134,1.05075302381616,-1.11328780275635,"crepuscular","nonvolant","semifossorial","terrestrial","good"
"133","Lama_glama","Lama_glama","Mammalia",1.24297163852397,2.20796949991299,-1.31938988611087,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"134","Lasiopodomys_brandtii","Lasiopodomys_brandtii","Mammalia",-1.59658756557445,-0.790074017650953,0.997578725841581,"diurnal","nonvolant","semifossorial","terrestrial","good"
"135","Lasiorhinus_latifrons","Lasiorhinus_latifrons","Mammalia",1.29243408115935,1.58232785101213,-2.24589937792782,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"136","Lasiurus_cinereus","Lasiurus_cinereus","Mammalia",0.189095016304583,-0.977743158689953,0.0761154894298699,"nocturnal","volant","nonfossorial","volant","good"
"137","Lemmus_lemmus","Lemmus_lemmus","Mammalia",-1.91221142562743,-0.58448015284159,1.24951342348485,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"138","Leontopithecus_rosalia","Leontopithecus_rosalia","Mammalia",1.37284137877482,0.236761262483929,-0.433172991876402,"diurnal","nonvolant","nonfossorial","arboreal","good"
"139","Leopardus_pardalis","Leopardus_pardalis","Mammalia",1.2073187517883,1.19145823448198,-1.03763918821626,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"140","Leopardus_wiedii","Leopardus_wiedii","Mammalia",0.972825898191096,0.869828401861013,-1.19469254116147,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"141","Leptailurus_serval","Leptailurus_serval","Mammalia",0.872506426838595,1.34457088731242,-1.00154897533664,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"142","Leptonycteris_curasoae","Leptonycteris_curasoae","Mammalia",-0.285685990278927,-0.962745812647217,0.665261415977292,"nocturnal","volant","nonfossorial","volant","good"
"143","Lepus_timidus","Lepus_timidus","Mammalia",0.554520168860596,0.917523026527477,-0.0461590600328443,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"144","Loris_tardigradus","Loris_tardigradus","Mammalia",0.655916319716567,-0.134576091025383,-0.590024939967073,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"145","Lutra_lutra","Lutra_lutra","Mammalia",0.570587245079906,1.0940246219941,-0.591658147552506,"cathemeral","nonvolant","semifossorial","aquatic","good"
"146","Lutreolina_crassicaudata","Lutreolina_crassicaudata","Mammalia",-2.10009246775897,0.0272169944400036,-0.475573541123536,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"147","Lycaon_pictus","Lycaon_pictus","Mammalia",0.471408656958158,1.59645974562756,-0.143502729522891,"crepuscular","nonvolant","nonfossorial","terrestrial","good"
"148","Lynx_rufus","Lynx_rufus","Mammalia",1.40469989645297,1.18301225421513,-0.594100218819403,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
